"IdLink","channel_name","active","LinkID","SrcDetectorId","SrcLatitude","SrcLongitude","DestDetectorId","DestLatitude","DestLongitude","LinkName","RouteDirectionName","SrcChannelId","DestChannelId","LineDistance_m","last_poll_time"
245,"Papineau-Henri-Bourassa",1,"LPa_15-17","15","45,5702683333333","-73,6588066666667","17","45,5564283333333","-73,626345","Papineau: Henri-Bourassa a Barnabe-Larocque","S",16,18,2937,2019-07-02 18:44:57
246,"Saint-Michel-Industriel",1,"LCP_10-17","10","45,5760283333333","-73,6364616666667","17","45,5564283333333","-73,626345","Charland/Papineau: Saint-Michel a Barnabe-Larocque","S",11,18,2230,2019-07-02 18:44:59
247,"Saint-Denis-Roy",1,"LSD_50-31","50","45,5193333333333","-73,5725833333333","31","45,52625","-73,5878883333333","Saint-Denis: Roy a Saint-Joseph","N",110,44,1419,2019-07-02 18:44:57
248,"Saint-Denis-Saint-Joseph",1,"LSD_31-50","31","45,52625","-73,5878883333333","50","45,5193333333333","-73,5725833333333","Saint-Denis: Saint-Joseph a Roy","S",44,110,1419,2019-07-02 18:44:57
249,"Saint-Denis-Sherbrooke",1,"LSD_30-50","30","45,517","-73,567445","50","45,5193333333333","-73,5725833333333","Saint-Denis: Sherbrooke a Roy","N",43,110,476,2019-07-02 18:44:57
250,"Saint-Denis-Roy",1,"LSD_50-30","50","45,5193333333333","-73,5725833333333","30","45,517","-73,567445","Saint-Denis: Roy a Sherbrooke","S",110,43,476,2019-07-02 18:44:57
266,"Saint-Denis-Sherbrooke",1,"LSD_30-89","30","45,517","-73,567445","89","45,5159166666667","-73,5652333333333","Saint-Denis: Sherbrooke a Ontario **","S",43,103,211,2019-07-02 18:44:57
267,"Ontario-St-Denis**",1,"LSD_89-87","89","45,5159166666667","-73,5652333333333","87","45,5144166666667","-73,5619","Saint-Denis: Ontario a Maisonneuve **","S",103,101,308,2019-07-02 18:45:00
268,"Maisonneuve-St-Denis **",1,"LSD_87-92","87","45,5144166666667","-73,5619","92","45,51375","-73,5604333333333","St-Denis: Maisonneuve a Ste-Catherine **","S",101,106,137,2019-07-02 18:45:01
269,"Ste-Catherine-St-Denis **",1,"LSD_92-29","92","45,51375","-73,5604333333333","29","45,5127216666667","-73,5582216666667","St-Denis: Ste-Catherine a Rene-Levesque **","S",106,42,201,2018-07-19 14:35:55
270,"Ontario-St-Hubert **",1,"LSH_90-96","90","45,5178833333333","-73,5642666666667","96","45,51896","-73,56655","St-Hubert: Ontario a Sherbrooke **","N",104,117,214,2019-07-02 18:45:00
271,"St-Hubert-Sherbrooke **",1,"LSH_96-90","96","45,51896","-73,56655","90","45,5178833333333","-73,5642666666667","St-Hubert: Sherbrooke a Ontario **","S",117,104,214,2019-07-02 18:44:57
